Ugadi Open Rummy Knockout Tournament,Sports & Outdoor - ,New Munich Trade Fair Centre,Bangalore,Apr 11,
The Dragon - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 11 - Apr 12,
77th Sree Ramanavami National Music Festival - Day 15,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 11,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
77th Sree Ramanavami National Music Festival - Day 16,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 12,
CinePlay Night: Hasmukh Saab Ki Wasihat,Theatre & Arts - ,Jus' Trufs Cafe,Jakkur,Apr 12,
Midival Punditz to Rlease Their 4th Studio Album,Nightlife - ,The Humming Tree,Indira Nagar,Apr 12,
Sunday Karaoke Night at No Limmits Lounge,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Apr 12,
Atif Aslam Live in Concert,Music & Concerts,White Orchid,Bangalore,Apr 18,
77th Sree Ramanavami National Music Festival - Day 22,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 18,
In Such a State - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 18,
77th Sree Ramanavami National Music Festival - Day 23,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 19,
Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 19,
event,type,place,place1,date,time
Vishu Sadya,Food & Drink,Sanjeevanam, Koramangala,"Apr 13, 2015 ",12:00 PM PM to 03:00 PM AM
Free Thinking Summer Festival 2015 ,Family & Kids,The Freethinking School, Koramangala,"Apr 13, 2015 ",09:00 AM AM to 01:00 PM AM
Shaken Stirred Or Muddled,Food & Drink,Polo Club, MG Road,"Apr 13, 2015 ",12:00 PM PM Onwards
Vishu Sadya,Food & Drink,Sanjeevanam, Koramangala,"Apr 14, 2015",12:00 PM PM to 03:00 PM AM
Free Thinking Summer Festival 2015 ,Family & Kids,The Freethinking School, Koramangala,"Apr 14, 2015",09:00 AM AM to 01:00 PM AM
Shaken Stirred Or Muddled,Food & Drink,Polo Club, MG Road,"Apr 14, 2015",12:00 PM PM Onwards
Vishu Sadya,Food & Drink,Sanjeevanam, Koramangala,"Apr 15, 2015",12:00 PM PM to 03:00 PM AM
Free Thinking Summer Festival 2015 ,Family & Kids,The Freethinking School, Koramangala,"Apr 15, 2015",09:00 AM AM to 01:00 PM AM
Shaken Stirred Or Muddled,Food & Drink,Polo Club, MG Road,"Apr 15, 2015",12:00 PM PM Onwards
Life On The Ghats: Photography Exhibition,Arts & Crafts,Shades Of Art, Koramangala,"Apr 16, 2015",10:00 AM AM to 06:00 PM AM
Kiara Silver Chorale Live In Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Apr 16, 2015",07:30 PM AM Onwards
Comedy Of Errors,Standup & Theater,Studio for Movement Arts and Therapies, Richmond Town,"Apr 16, 2015",09:00 PM AM Onwards
Comedy Of Errors,Standup & Theater,Studio for Movement Arts and Therapies, Richmond Town,"Apr 17, 2015",09:00 PM AM Onwards
Chutzpah,Standup & Theater,Chowdiah Memorial Hall, Malleshwaram,"Apr 17, 2015",07:30 PM AM Onwards
Woven In Ink: Art Exhibition,Arts & Crafts,KalaRasa Art House, Jayanagar,"Apr 17, 2015",06:00 PM AM Onwards
Comedy Of Errors,Standup & Theater,Studio for Movement Arts and Therapies, Richmond Town,"Apr 18, 2015",05:00 PM AM Onwards
Bond With The Bard,Music & Dance,Atta Galatta, Koramangala,"Apr 18, 2015",06:00 PM AM Onwards
Tarang: Hariprasad Chaurasia Live Concert,Music & Dance,Phoenix Market City, Whitefield,"Apr 18, 2015",05:30 PM AM Onwards
Baisakhi Food Festival,Food & Drink,Sheraton Bangalore Hotel, Malleshwaram,"Apr 19, 2015",12:00 PM PM Onwards
Grand Veena Concert,Music & Dance,Gayana Samaja Hall, Basavanagudi,"Apr 19, 2015",05:00 PM AM Onwards
Songkran: Thai New Year Celebrations,Food & Drink,Rim Naam, MG Road,"Apr 19, 2015",12:00 PM PM to 11:30 PM AM
77th Sree Ramanavami National Music Festival,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28 - Apr 23,
Short+Sweet Ten Minute Theatre Festival Bengaluru 2015,Theatre & Arts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 05 - May 03,
"Celebrate T20 Cricket With Food, Drinks & DJ Nights",Sports & Outdoor - ,No Limits Lounge & Club,Ashok Nagar,Apr 08 - May 24,
Watch T20 Cricket in Big Screen,Sports & Outdoor - ,Don't Tell Mama Lounge,HSR Layout,Apr 10 - May 24,
Pre Match Warm Up at Casablanca,Sports & Outdoor - , Casablanca - The Pride Hotel,Richmond Road,Apr 10 - May 24,
Big Pitcher - Anniversary Bash Week,Theatre & Arts - ,Big Pitcher,Old Airport Road,Apr 10 - Apr 17,
Buskya Night - Guest Performers,Nightlife - ,Opus,Palace Road,Apr 14,
Candy Shop Night - DJ Nash & DJ Raghu,Nightlife - ,Pebble - The Jungle Lounge,Sadashiva Nagar,Apr 14,
Tuesdays with The Bard @ Urban Solace,Music & Concerts,Urban Solace - Cafe & Gallery,Ulsoor,Apr 14,
77th Sree Ramanavami National Music Festival - Day 18,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 14,
Tuesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Apr 14,
Snow City,Sports & Outdoor - ,Snow City,J.C Nagar,Apr 10 - Apr 30,
Copenhagen - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 14,
Nisha Millets Swim Camps April 2015,Sports & Outdoor - ,Aratt Sportsworld,Begur,Apr 04 - Apr 20,
Giant T20 Screening at  Turquoise,Sports & Outdoor - ,Turquoise - Quality Inn Shravanthi,J.P Nagar,Apr 08 - May 24,
Giant T20 Screening at Kabab Adda,Sports & Outdoor - ,Kabab Adda - Quality Inn,J.P Nagar,Apr 08 - May 24,
Atif Aslam Live in Concert,Music & Concerts,White Orchid,Bangalore,Apr 18,
DJ Foozak Live at Sancho,Nightlife - ,UB City,Vittal Mallya Road,Apr 18,
Tarang with Padma Vibhushan Pandit Hariprasad Chaurasia Live In Concert,Music & Concerts - ,Phoenix Market City,Mahadevapura,Apr 18,
Sapta (San Francisco/Paris/Dubai/Chennai) Live,Music & Concerts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Apr 18,
"Stand Up Comedy - Akshay BD, Vamsi, Utsav & Kjeld",Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Apr 18,
In Such a State - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 18,
77th Sree Ramanavami National Music Festival - Day 23,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 19,
Grand Veena Concert by Vid. J. Yogavandana,Music & Concerts - ,Bangalore Gayana Samaja,Basavanagudi,Apr 19,
Sunday Karaoke Night at No Limmits Lounge,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Apr 19,
CinePlay Night: Hasmukh Saab Ki Wasihat,Theatre & Arts - ,Jus' Trufs Cafe,Jakkur,Apr 25,
Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 19,
Harischandra - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Apr 25,
77th Sree Ramanavami National Music Festival - Day 29,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 25,
"Biker Dreams @ Urban Solace - The Road, my Bike and Me!",Music & Concerts,Urban Solace - Cafe & Gallery,Ulsoor,Apr 25,
Song of the Swan - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 24 - Apr 25,
77th Sree Ramanavami National Music Festival - Day 30,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 26,
Dance Concert - World Dance Day with Dance DISCourse,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 26,
event,type,place,place1,date,time
Vishu Sadya,Food & Drink,Sanjeevanam, Koramangala,"Apr 13, 2015 ",12:00 PM PM to 03:00 PM AM
Free Thinking Summer Festival 2015 ,Family & Kids,The Freethinking School, Koramangala,"Apr 13, 2015 ",09:00 AM AM to 01:00 PM AM
Shaken Stirred Or Muddled,Food & Drink,Polo Club, MG Road,"Apr 13, 2015 ",12:00 PM PM Onwards
Vishu Sadya,Food & Drink,Sanjeevanam, Koramangala,"Apr 14, 2015",12:00 PM PM to 03:00 PM AM
Free Thinking Summer Festival 2015 ,Family & Kids,The Freethinking School, Koramangala,"Apr 14, 2015",09:00 AM AM to 01:00 PM AM
Shaken Stirred Or Muddled,Food & Drink,Polo Club, MG Road,"Apr 14, 2015",12:00 PM PM Onwards
Vishu Sadya,Food & Drink,Sanjeevanam, Koramangala,"Apr 15, 2015",12:00 PM PM to 03:00 PM AM
Free Thinking Summer Festival 2015 ,Family & Kids,The Freethinking School, Koramangala,"Apr 15, 2015",09:00 AM AM to 01:00 PM AM
Shaken Stirred Or Muddled,Food & Drink,Polo Club, MG Road,"Apr 15, 2015",12:00 PM PM Onwards
Life On The Ghats: Photography Exhibition,Arts & Crafts,Shades Of Art, Koramangala,"Apr 16, 2015",10:00 AM AM to 06:00 PM AM
Kiara Silver Chorale Live In Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Apr 16, 2015",07:30 PM AM Onwards
Comedy Of Errors,Standup & Theater,Studio for Movement Arts and Therapies, Richmond Town,"Apr 16, 2015",09:00 PM AM Onwards
Comedy Of Errors,Standup & Theater,Studio for Movement Arts and Therapies, Richmond Town,"Apr 17, 2015",09:00 PM AM Onwards
Chutzpah,Standup & Theater,Chowdiah Memorial Hall, Malleshwaram,"Apr 17, 2015",07:30 PM AM Onwards
Woven In Ink: Art Exhibition,Arts & Crafts,KalaRasa Art House, Jayanagar,"Apr 17, 2015",06:00 PM AM Onwards
Comedy Of Errors,Standup & Theater,Studio for Movement Arts and Therapies, Richmond Town,"Apr 18, 2015",05:00 PM AM Onwards
Bond With The Bard,Music & Dance,Atta Galatta, Koramangala,"Apr 18, 2015",06:00 PM AM Onwards
Tarang: Hariprasad Chaurasia Live Concert,Music & Dance,Phoenix Market City, Whitefield,"Apr 18, 2015",05:30 PM AM Onwards
Baisakhi Food Festival,Food & Drink,Sheraton Bangalore Hotel, Malleshwaram,"Apr 19, 2015",12:00 PM PM Onwards
Grand Veena Concert,Music & Dance,Gayana Samaja Hall, Basavanagudi,"Apr 19, 2015",05:00 PM AM Onwards
Songkran: Thai New Year Celebrations,Food & Drink,Rim Naam, MG Road,"Apr 19, 2015",12:00 PM PM to 11:30 PM AM
77th Sree Ramanavami National Music Festival,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Mar 28 - Apr 23,
Short+Sweet Ten Minute Theatre Festival Bengaluru 2015,Theatre & Arts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 05 - May 03,
"Celebrate T20 Cricket With Food, Drinks & DJ Nights",Sports & Outdoor - ,No Limits Lounge & Club,Ashok Nagar,Apr 08 - May 24,
Watch T20 Cricket in Big Screen,Sports & Outdoor - ,Don't Tell Mama Lounge,HSR Layout,Apr 10 - May 24,
Pre Match Warm Up at Casablanca,Sports & Outdoor - , Casablanca - The Pride Hotel,Richmond Road,Apr 10 - May 24,
Big Pitcher - Anniversary Bash Week,Theatre & Arts - ,Big Pitcher,Old Airport Road,Apr 10 - Apr 17,
Buskya Night - Guest Performers,Nightlife - ,Opus,Palace Road,Apr 14,
Candy Shop Night - DJ Nash & DJ Raghu,Nightlife - ,Pebble - The Jungle Lounge,Sadashiva Nagar,Apr 14,
Tuesdays with The Bard @ Urban Solace,Music & Concerts,Urban Solace - Cafe & Gallery,Ulsoor,Apr 14,
77th Sree Ramanavami National Music Festival - Day 18,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 14,
Tuesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Apr 14,
Snow City,Sports & Outdoor - ,Snow City,J.C Nagar,Apr 10 - Apr 30,
Copenhagen - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 14,
Nisha Millets Swim Camps April 2015,Sports & Outdoor - ,Aratt Sportsworld,Begur,Apr 04 - Apr 20,
Giant T20 Screening at  Turquoise,Sports & Outdoor - ,Turquoise - Quality Inn Shravanthi,J.P Nagar,Apr 08 - May 24,
Giant T20 Screening at Kabab Adda,Sports & Outdoor - ,Kabab Adda - Quality Inn,J.P Nagar,Apr 08 - May 24,
Atif Aslam Live in Concert,Music & Concerts,White Orchid,Bangalore,Apr 18,
DJ Foozak Live at Sancho,Nightlife - ,UB City,Vittal Mallya Road,Apr 18,
Tarang with Padma Vibhushan Pandit Hariprasad Chaurasia Live In Concert,Music & Concerts - ,Phoenix Market City,Mahadevapura,Apr 18,
Sapta (San Francisco/Paris/Dubai/Chennai) Live,Music & Concerts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Apr 18,
"Stand Up Comedy - Akshay BD, Vamsi, Utsav & Kjeld",Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Apr 18,
In Such a State - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 18,
77th Sree Ramanavami National Music Festival - Day 23,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 19,
Grand Veena Concert by Vid. J. Yogavandana,Music & Concerts - ,Bangalore Gayana Samaja,Basavanagudi,Apr 19,
Sunday Karaoke Night at No Limmits Lounge,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Apr 19,
CinePlay Night: Hasmukh Saab Ki Wasihat,Theatre & Arts - ,Jus' Trufs Cafe,Jakkur,Apr 25,
Avasthe - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 19,
Harischandra - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Apr 25,
77th Sree Ramanavami National Music Festival - Day 29,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 25,
"Biker Dreams @ Urban Solace - The Road, my Bike and Me!",Music & Concerts,Urban Solace - Cafe & Gallery,Ulsoor,Apr 25,
Song of the Swan - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Apr 24 - Apr 25,
77th Sree Ramanavami National Music Festival - Day 30,Music & Concerts - ,Sree Ramaseva Mandali,Rajaji Nagar,Apr 26,
Dance Concert - World Dance Day with Dance DISCourse,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Apr 26,
